latitude,longitude,elevation
52.617132,-117.846399,1247.1
52.617124,-117.846396,1247.2
52.617125,-117.846396,1247.2
52.61713,-117.846396,1247.2
52.617133,-117.846401,1247.2
52.617135,-117.846401,1247.2
52.617137,-117.846402,1247.2
52.617143,-117.846397,1247.2
52.61714,-117.846395,1247.2
52.617141,-117.846398,1247.2
52.617141,-117.846398,1247.2
52.617141,-117.846398,1247.2
52.617128,-117.846413,1247.2
52.617126,-117.846416,1247.2
52.61712,-117.846414,1247.2
52.617116,-117.846411,1247.2
52.617112,-117.846412,1247.2
52.61711,-117.846417,1247.3
52.617099,-117.846423,1247.3
52.617097,-117.846423,1247.3
52.617098,-117.846423,1247.3
52.617082,-117.846416,1247.3
52.617074,-117.846405,1247.3
52.61706,-117.846409,1247.4
52.617049,-117.846422,1247.4
52.617037,-117.846434,1247.4
52.617026,-117.846447,1247.5
52.617041,-117.846495,1247.6
52.61704,-117.846513,1247.6
52.61702,-117.84651,1247.7
52.617011,-117.846512,1247.7
52.617001,-117.846514,1247.7
52.616974,-117.846536,1247.8
52.616949,-117.846552,1247.9
52.616972,-117.846492,1248.1
52.617013,-117.846507,1248.2
52.616983,-117.846503,1248.3
52.616963,-117.846524,1248.4
52.616902,-117.846567,1248.6
52.616916,-117.846537,1248.6
52.616889,-117.846574,1248.7
52.61687,-117.846579,1248.8
52.61685,-117.846595,1248.8
52.616844,-117.846611,1248.8
52.616838,-117.846627,1248.9
52.616806,-117.846608,1249.0
52.616792,-117.846616,1249.0
52.616791,-117.84661,1249.0
52.616806,-117.846581,1249.1
52.61677,-117.846582,1249.2
52.616763,-117.84656,1249.2
52.616748,-117.846543,1249.2
52.616732,-117.846523,1249.3
52.61671,-117.846527,1249.4
52.616689,-117.84653,1249.4
52.616679,-117.846541,1249.4
52.616675,-117.846541,1249.5
52.61667,-117.846542,1249.5
52.616666,-117.846542,1249.5
52.616662,-117.846542,1249.5
52.616657,-117.846542,1249.5
52.616653,-117.846542,1249.5
52.616648,-117.846543,1249.5
52.616631,-117.846539,1249.6
52.616641,-117.84657,1249.6
52.616632,-117.846558,1249.7
52.616628,-117.846562,1249.7
52.61662,-117.846564,1249.7
52.616614,-117.846563,1249.7
52.616609,-117.846557,1249.8
52.616617,-117.846545,1249.8
52.616608,-117.846526,1249.8
52.616608,-117.846526,1249.8
52.616608,-117.846526,1249.8
52.616608,-117.846526,1249.8
52.616608,-117.846526,1249.8
52.616608,-117.846526,1249.8
52.616608,-117.846526,1249.8
52.616638,-117.846518,1249.9
52.61663,-117.846529,1249.9
52.616623,-117.846529,1249.9
52.616616,-117.846529,1250.0
52.61661,-117.846529,1250.0
52.616603,-117.846528,1250.0
52.61661,-117.846528,1250.0
52.616606,-117.84651,1250.0
52.616591,-117.846489,1250.1
52.616592,-117.84649,1250.1
52.616595,-117.846513,1250.1
52.616586,-117.846481,1250.1
52.616586,-117.846481,1250.1
52.616586,-117.846481,1250.1
52.616586,-117.846481,1250.1
52.616586,-117.846481,1250.1
52.616586,-117.846481,1250.1
52.616607,-117.846455,1250.2
52.616608,-117.846449,1250.2
52.616601,-117.846416,1250.2
52.616599,-117.846404,1250.2
52.616596,-117.846391,1250.2
52.61661,-117.846375,1250.2
52.616599,-117.846375,1250.2
52.616597,-117.846363,1250.3
52.61657,-117.846366,1250.3
52.616566,-117.846345,1250.3
52.61656,-117.846324,1250.3
52.616555,-117.846303,1250.3
52.616552,-117.846315,1250.3
52.616556,-117.846346,1250.2
52.616553,-117.846319,1250.2
52.616568,-117.846322,1250.2
52.616564,-117.846318,1250.2
52.616557,-117.846293,1250.2
52.616546,-117.846275,1250.2
52.616547,-117.846265,1250.2
52.616554,-117.846251,1250.2
52.61655,-117.846225,1250.1
52.616536,-117.84622,1250.1
52.616523,-117.846215,1250.1
52.616516,-117.846242,1250.1
52.616519,-117.846259,1250.0
52.616522,-117.846252,1250.0
52.616531,-117.846255,1250.0
52.61654,-117.846258,1250.0
52.616548,-117.846261,1250.0
52.616557,-117.846264,1250.0
52.616557,-117.846264,1250.0
52.616557,-117.846264,1250.0
52.616557,-117.846264,1250.0
52.61655,-117.846264,1250.0
52.61655,-117.846264,1250.0
52.616544,-117.846258,1250.0
52.616549,-117.846242,1249.9
52.616558,-117.846252,1249.9
52.616573,-117.846278,1249.9
52.616564,-117.846314,1249.8
52.616588,-117.846308,1249.8
52.616597,-117.84631,1249.8
52.616606,-117.846312,1249.7
52.616615,-117.846315,1249.7
52.61663,-117.846299,1249.7
52.616638,-117.846301,1249.6
52.616645,-117.846303,1249.6
52.616653,-117.846305,1249.6
52.616661,-117.846307,1249.6
52.616682,-117.846279,1249.5
52.616695,-117.846277,1249.4
52.616701,-117.846282,1249.4
52.616729,-117.846278,1249.3
52.616686,-117.846267,1249.1
52.616707,-117.846266,1249.0
52.616715,-117.846262,1249.0
52.616722,-117.846257,1248.9
52.61673,-117.846253,1248.9
52.616738,-117.846249,1248.9
52.616746,-117.846244,1248.8
52.616753,-117.84624,1248.8
52.616761,-117.846236,1248.7
52.616769,-117.846231,1248.7
52.616776,-117.846227,1248.6
52.616784,-117.846223,1248.6
